topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Cosmic Connection: Linking Derivatives and Integrals,True,True,True,14.646451703707378,1.693509034315745,832626,832.626,100.0,97.5,100.0,100.0,100.0,99.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/0-The_Cosmic_Connection_Linking_Derivatives_and_Integrals,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/0-The_Cosmic_Connection_Linking_Derivatives_and_Integrals/The_Cosmic_Connection_Linking_Derivatives_and_Integrals.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/0-The_Cosmic_Connection_Linking_Derivatives_and_Integrals/The_Cosmic_Connection_Linking_Derivatives_and_Integrals_eval.json,
1,mas,Abstract vector spaces,Abstract Vector Spaces: Beyond the Arrow,True,True,True,12.95621436436971,2.5721255699793497,684531,684.531,97.5,95.0,100.0,100.0,95.0,97.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/1-Abstract_Vector_Spaces_Beyond_the_Arrow,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/1-Abstract_Vector_Spaces_Beyond_the_Arrow/Abstract_Vector_Spaces_Beyond_the_Arrow.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/1-Abstract_Vector_Spaces_Beyond_the_Arrow/Abstract_Vector_Spaces_Beyond_the_Arrow_eval.json,
2,mas,Neural network learning and intuitive backpropagation,Neural Network Learning and Intuitive Backpropagation,True,True,True,12.200028236707052,1.661419959863027,749843,749.843,97.5,100.0,100.0,100.0,100.0,99.5,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/2-Neural_Network_Learning_and_Intuitive_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/2-Neural_Network_Learning_and_Intuitive_Backpropagation/Neural_Network_Learning_and_Intuitive_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/2-Neural_Network_Learning_and_Intuitive_Backpropagation/Neural_Network_Learning_and_Intuitive_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The 'Attention' Secret: How Transformers Understand Context,True,True,True,18.066374146938323,1.9022091547648112,609865,609.865,100.0,95.0,100.0,100.0,97.5,98.5,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/3-The_Attention_Secret_How_Transformers_Understand_Context,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/3-The_Attention_Secret_How_Transformers_Understand_Context/The_Attention_Secret_How_Transformers_Understand_Context.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/3-The_Attention_Secret_How_Transformers_Understand_Context/The_Attention_Secret_How_Transformers_Understand_Context_eval.json,
4,mas,Change of basis,Change of Basis: Seeing the Same World through Different Eyes,True,True,True,12.701039719581605,2.007576068242391,693154,693.154,100.0,97.5,100.0,100.0,65.0,92.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/4-Change_of_Basis_Seeing_the_Same_World_through_Different_Eyes,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/4-Change_of_Basis_Seeing_the_Same_World_through_Different_Eyes/Change_of_Basis_Seeing_the_Same_World_through_Different_Eyes.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/4-Change_of_Basis_Seeing_the_Same_World_through_Different_Eyes/Change_of_Basis_Seeing_the_Same_World_through_Different_Eyes_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: Beyond the Slope,True,True,True,23.680728534857433,1.8310390869776407,752462,752.462,97.5,95.0,100.0,100.0,100.0,98.5,0.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/5-The_Transformational_View_of_Derivatives_Beyond_the_Slope,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/5-The_Transformational_View_of_Derivatives_Beyond_the_Slope/The_Transformational_View_of_Derivatives_Beyond_the_Slope.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/5-The_Transformational_View_of_Derivatives_Beyond_the_Slope/The_Transformational_View_of_Derivatives_Beyond_the_Slope_eval.json,
6,mas,Moser's circle problem,Moser's Circle Problem: The Danger of Patterns,True,True,True,14.515433979034423,2.6969093600908915,733557,733.557,100.0,100.0,100.0,100.0,97.5,99.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/6-Mosers_Circle_Problem_The_Danger_of_Patterns,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/6-Mosers_Circle_Problem_The_Danger_of_Patterns/Mosers_Circle_Problem_The_Danger_of_Patterns.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/6-Mosers_Circle_Problem_The_Danger_of_Patterns/Mosers_Circle_Problem_The_Danger_of_Patterns_eval.json,
7,mas,Instantaneous rate of change and the derivative,From Average Speed to Instantaneous Change: The Magic of the Derivative,True,True,True,12.264743014176686,1.805053170522054,714475,714.475,97.5,95.0,100.0,100.0,100.0,98.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/7-From_Average_Speed_to_Instantaneous_Change_The_Magic_of_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/7-From_Average_Speed_to_Instantaneous_Change_The_Magic_of_the_Derivative/From_Average_Speed_to_Instantaneous_Change_The_Magic_of_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/7-From_Average_Speed_to_Instantaneous_Change_The_Magic_of_the_Derivative/From_Average_Speed_to_Instantaneous_Change_The_Magic_of_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,The Logic of the Multiverse: Superposition and Quantum States,True,True,True,9.461373972892762,1.6144197225570678,526167,526.167,97.5,92.5,100.0,100.0,95.0,97.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/8-The_Logic_of_the_Multiverse_Superposition_and_Quantum_States,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/8-The_Logic_of_the_Multiverse_Superposition_and_Quantum_States/The_Logic_of_the_Multiverse_Superposition_and_Quantum_States.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/8-The_Logic_of_the_Multiverse_Superposition_and_Quantum_States/The_Logic_of_the_Multiverse_Superposition_and_Quantum_States_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Path of Quickest Descent,True,True,True,21.05920595328013,1.8381907224655152,786853,786.853,97.5,95.0,100.0,100.0,100.0,98.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/9-The_Brachistochrone_Problem_The_Path_of_Quickest_Descent,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/9-The_Brachistochrone_Problem_The_Path_of_Quickest_Descent/The_Brachistochrone_Problem_The_Path_of_Quickest_Descent.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260803_114800/9-The_Brachistochrone_Problem_The_Path_of_Quickest_Descent/The_Brachistochrone_Problem_The_Path_of_Quickest_Descent_eval.json,
