topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Fundamental Bridge: The Relationship Between Integrals and Derivatives,True,True,True,7.3677025953928625,1.7404438575108847,340018,340.018,97.5,95.0,100.0,100.0,97.5,98.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives_eval.json,
1,mas,Abstract vector spaces,The Logic of Abstract Vector Spaces,True,True,True,6.405394355456035,1.5858642180760703,426369,426.369,95.0,82.5,97.5,92.5,90.0,91.5,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/1-The_Logic_of_Abstract_Vector_Spaces,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/1-The_Logic_of_Abstract_Vector_Spaces/The_Logic_of_Abstract_Vector_Spaces.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/1-The_Logic_of_Abstract_Vector_Spaces/The_Logic_of_Abstract_Vector_Spaces_eval.json,
2,mas,Neural network learning and intuitive backpropagation,Neural Networks and Intuitive Backpropagation,True,True,True,6.582912178834279,1.7433117588361104,322516,322.516,92.5,80.0,97.5,95.0,90.0,91.0,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/2-Neural_Networks_and_Intuitive_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/2-Neural_Networks_and_Intuitive_Backpropagation/Neural_Networks_and_Intuitive_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/2-Neural_Networks_and_Intuitive_Backpropagation/Neural_Networks_and_Intuitive_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The Attention Mechanism: How Transformers Read,True,True,True,4.559370827674866,1.5627050360043844,315564,315.564,97.5,92.5,100.0,100.0,95.0,97.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/3-The_Attention_Mechanism_How_Transformers_Read,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read_eval.json,
4,mas,Change of basis,Change of Basis in Linear Algebra,True,True,True,5.543207609653473,1.7092741886774698,400601,400.601,97.5,92.5,85.0,100.0,90.0,93.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/4-Change_of_Basis_in_Linear_Algebra,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: From Slopes to Dynamic Rates,True,True,True,4.9325785358746845,1.8252561966578165,447522,447.522,97.5,95.0,100.0,100.0,97.5,98.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Dynamic_Rates,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Dynamic_Rates/The_Transformational_View_of_Derivatives_From_Slopes_to_Dynamic_Rates.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Dynamic_Rates/The_Transformational_View_of_Derivatives_From_Slopes_to_Dynamic_Rates_eval.json,
6,mas,Moser's circle problem,Moser's Circle Problem: The Deceptive Pattern,True,True,True,5.48913848400116,2.3065981109937033,354660,354.66,92.5,75.0,97.5,95.0,90.0,90.0,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/6-Mosers_Circle_Problem_The_Deceptive_Pattern,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/6-Mosers_Circle_Problem_The_Deceptive_Pattern/Mosers_Circle_Problem_The_Deceptive_Pattern.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/6-Mosers_Circle_Problem_The_Deceptive_Pattern/Mosers_Circle_Problem_The_Deceptive_Pattern_eval.json,
7,mas,Instantaneous rate of change and the derivative,Instantaneous Rate of Change and the Derivative,True,True,True,4.329828810691834,1.518511970837911,374814,374.814,97.5,90.0,100.0,100.0,95.0,96.5,20.000000000000007,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/7-Instantaneous_Rate_of_Change_and_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,Superposition and Quantum States: The Architecture of Reality,True,True,True,4.737913576761882,1.505999485651652,345216,345.216,92.5,85.0,97.5,95.0,87.5,91.5,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/8-Superposition_and_Quantum_States_The_Architecture_of_Reality,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/8-Superposition_and_Quantum_States_The_Architecture_of_Reality/Superposition_and_Quantum_States_The_Architecture_of_Reality.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/8-Superposition_and_Quantum_States_The_Architecture_of_Reality/Superposition_and_Quantum_States_The_Architecture_of_Reality_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Race of Curves,True,True,True,7.653528380393982,1.398457447687785,344531,344.531,92.5,85.0,100.0,95.0,97.5,94.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/9-The_Brachistochrone_Problem_The_Race_of_Curves,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/9-The_Brachistochrone_Problem_The_Race_of_Curves/The_Brachistochrone_Problem_The_Race_of_Curves.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_115223/9-The_Brachistochrone_Problem_The_Race_of_Curves/The_Brachistochrone_Problem_The_Race_of_Curves_eval.json,
