topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Calculus Connection: Bridging Derivatives and Integrals,True,True,True,12.05715505282084,1.5921650648117065,714635,714.635,97.5,95.0,100.0,100.0,100.0,98.5,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/0-The_Calculus_Connection_Bridging_Derivatives_and_Integrals,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/0-The_Calculus_Connection_Bridging_Derivatives_and_Integrals/The_Calculus_Connection_Bridging_Derivatives_and_Integrals.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/0-The_Calculus_Connection_Bridging_Derivatives_and_Integrals/The_Calculus_Connection_Bridging_Derivatives_and_Integrals_eval.json,
1,mas,Abstract vector spaces,Abstract Vector Spaces: Moving Beyond Arrows,True,True,True,12.064811185995739,1.7259123206138611,503846,503.846,92.5,95.0,100.0,97.5,95.0,96.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/1-Abstract_Vector_Spaces_Moving_Beyond_Arrows,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/1-Abstract_Vector_Spaces_Moving_Beyond_Arrows/Abstract_Vector_Spaces_Moving_Beyond_Arrows.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/1-Abstract_Vector_Spaces_Moving_Beyond_Arrows/Abstract_Vector_Spaces_Moving_Beyond_Arrows_eval.json,
2,mas,Neural network learning and intuitive backpropagation,Neural Network Learning and Intuitive Backpropagation,True,True,True,12.562851631641388,1.5461485703786215,811397,811.397,97.5,100.0,100.0,100.0,95.0,98.5,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/2-Neural_Network_Learning_and_Intuitive_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/2-Neural_Network_Learning_and_Intuitive_Backpropagation/Neural_Network_Learning_and_Intuitive_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/2-Neural_Network_Learning_and_Intuitive_Backpropagation/Neural_Network_Learning_and_Intuitive_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The Mechanics of Attention: How LLMs 'Understand' Context,True,True,True,13.975589990615845,1.7244797627131143,771455,771.455,100.0,97.5,100.0,100.0,100.0,99.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/3-The_Mechanics_of_Attention_How_LLMs_Understand_Context,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/3-The_Mechanics_of_Attention_How_LLMs_Understand_Context/The_Mechanics_of_Attention_How_LLMs_Understand_Context.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/3-The_Mechanics_of_Attention_How_LLMs_Understand_Context/The_Mechanics_of_Attention_How_LLMs_Understand_Context_eval.json,
4,mas,Change of basis,Change of Basis: Seeing the World Through Different Eyes,True,True,True,19.253305987517038,2.404542152086894,1092643,1092.643,97.5,92.5,95.0,100.0,70.0,91.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/4-Change_of_Basis_Seeing_the_World_Through_Different_Eyes,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/4-Change_of_Basis_Seeing_the_World_Through_Different_Eyes/Change_of_Basis_Seeing_the_World_Through_Different_Eyes.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/4-Change_of_Basis_Seeing_the_World_Through_Different_Eyes/Change_of_Basis_Seeing_the_World_Through_Different_Eyes_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: Scaling Space,True,True,True,15.708419954776764,1.7343057195345561,787504,787.504,97.5,95.0,100.0,100.0,100.0,98.5,19.999999999999996,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/5-The_Transformational_View_of_Derivatives_Scaling_Space,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/5-The_Transformational_View_of_Derivatives_Scaling_Space/The_Transformational_View_of_Derivatives_Scaling_Space.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/5-The_Transformational_View_of_Derivatives_Scaling_Space/The_Transformational_View_of_Derivatives_Scaling_Space_eval.json,
6,mas,Moser's circle problem,The Trap of Patterns: Moser's Circle Problem,True,True,True,14.445547048250834,2.2562155524889627,773840,773.84,95.0,87.5,97.5,100.0,100.0,96.0,20.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/6-The_Trap_of_Patterns_Mosers_Circle_Problem,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/6-The_Trap_of_Patterns_Mosers_Circle_Problem/The_Trap_of_Patterns_Mosers_Circle_Problem.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/6-The_Trap_of_Patterns_Mosers_Circle_Problem/The_Trap_of_Patterns_Mosers_Circle_Problem_eval.json,
7,mas,Instantaneous rate of change and the derivative,The Secret of the Speedometer: Instantaneous Rate of Change and the Derivative,True,True,True,15.30388500293096,1.7837264259656271,870434,870.434,97.5,92.5,100.0,100.0,95.0,97.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/7-The_Secret_of_the_Speedometer_Instantaneous_Rate_of_Change_and_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/7-The_Secret_of_the_Speedometer_Instantaneous_Rate_of_Change_and_the_Derivative/The_Secret_of_the_Speedometer_Instantaneous_Rate_of_Change_and_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/7-The_Secret_of_the_Speedometer_Instantaneous_Rate_of_Change_and_the_Derivative/The_Secret_of_the_Speedometer_Instantaneous_Rate_of_Change_and_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,Superposition and Quantum States: The Logic of 'Both and Neither',True,True,True,19.11897707382838,1.656771198908488,876305,876.305,95.0,82.5,100.0,85.0,100.0,92.5,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/8-Superposition_and_Quantum_States_The_Logic_of_Both_and_Neither,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/8-Superposition_and_Quantum_States_The_Logic_of_Both_and_Neither/Superposition_and_Quantum_States_The_Logic_of_Both_and_Neither.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/8-Superposition_and_Quantum_States_The_Logic_of_Both_and_Neither/Superposition_and_Quantum_States_The_Logic_of_Both_and_Neither_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Path of Fastest Descent,True,True,True,64.8860330025355,1.6398128827412923,1222731,1222.731,97.5,92.5,97.5,100.0,100.0,97.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/9-The_Brachistochrone_Problem_The_Path_of_Fastest_Descent,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/9-The_Brachistochrone_Problem_The_Path_of_Fastest_Descent/The_Brachistochrone_Problem_The_Path_of_Fastest_Descent.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/9-The_Brachistochrone_Problem_The_Path_of_Fastest_Descent/The_Brachistochrone_Problem_The_Path_of_Fastest_Descent_eval.json,
10,mas,Dandelin spheres and conic sections,The Elegance of Dandelin Spheres: Proving Conic Sections,True,True,True,15.075416731834412,1.688682778676351,882575,882.575,97.5,92.5,100.0,100.0,95.0,97.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/10-The_Elegance_of_Dandelin_Spheres_Proving_Conic_Sections,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/10-The_Elegance_of_Dandelin_Spheres_Proving_Conic_Sections/The_Elegance_of_Dandelin_Spheres_Proving_Conic_Sections.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/10-The_Elegance_of_Dandelin_Spheres_Proving_Conic_Sections/The_Elegance_of_Dandelin_Spheres_Proving_Conic_Sections_eval.json,
11,mas,How multilayer perceptrons in transformers may store facts,How Transformers Store Facts: The MLP as a Key-Value Memory,True,True,True,16.950297300020853,1.7843016584714253,714102,714.102,97.5,92.5,100.0,100.0,97.5,97.5,0.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/11-How_Transformers_Store_Facts_The_MLP_as_a_Key-Value_Memory,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/11-How_Transformers_Store_Facts_The_MLP_as_a_Key-Value_Memory/How_Transformers_Store_Facts_The_MLP_as_a_Key-Value_Memory.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260728_101242/11-How_Transformers_Store_Facts_The_MLP_as_a_Key-Value_Memory/How_Transformers_Store_Facts_The_MLP_as_a_Key-Value_Memory_eval.json,
