topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Fundamental Bridge: The Relationship Between Integrals and Derivatives,True,True,True,4.907388146718343,1.6308863282203674,326114,326.114,95.0,92.5,97.5,100.0,100.0,97.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives_eval.json,
1,mas,Abstract vector spaces,The Essence of Abstract Vector Spaces,True,True,True,5.168128140767416,1.6575693289438884,320382,320.382,92.5,65.0,97.5,75.0,100.0,86.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/1-The_Essence_of_Abstract_Vector_Spaces,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/1-The_Essence_of_Abstract_Vector_Spaces/The_Essence_of_Abstract_Vector_Spaces.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/1-The_Essence_of_Abstract_Vector_Spaces/The_Essence_of_Abstract_Vector_Spaces_eval.json,
2,mas,Neural network learning and intuitive backpropagation,Neural Network Learning: The Intuition Behind Backpropagation,True,True,True,5.622426263491312,1.6093451698621115,403178,403.178,97.5,92.5,100.0,95.0,90.0,95.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/2-Neural_Network_Learning_The_Intuition_Behind_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/2-Neural_Network_Learning_The_Intuition_Behind_Backpropagation/Neural_Network_Learning_The_Intuition_Behind_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/2-Neural_Network_Learning_The_Intuition_Behind_Backpropagation/Neural_Network_Learning_The_Intuition_Behind_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The Attention Mechanism: How Transformers Read,True,True,True,6.242509404818217,1.6083513259887696,364709,364.709,95.0,87.5,100.0,95.0,97.5,95.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/3-The_Attention_Mechanism_How_Transformers_Read,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read_eval.json,
4,mas,Change of basis,Change of Basis in Linear Algebra,True,True,True,4.990633352597555,1.7442832390467327,387428,387.428,62.5,55.00000000000001,65.0,80.0,40.0,60.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/4-Change_of_Basis_in_Linear_Algebra,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: From Slopes to Sensitivities,True,True,True,5.169171690940857,1.7074759046236674,337303,337.303,97.5,92.5,100.0,100.0,95.0,97.0,0.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities/The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities/The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities_eval.json,
6,mas,Moser's circle problem,Moser's Circle Problem: The Deceptive Pattern,True,True,True,5.049764402707418,1.7274442871411642,402973,402.973,97.5,92.5,95.0,100.0,87.5,94.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/6-Mosers_Circle_Problem_The_Deceptive_Pattern,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/6-Mosers_Circle_Problem_The_Deceptive_Pattern/Mosers_Circle_Problem_The_Deceptive_Pattern.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/6-Mosers_Circle_Problem_The_Deceptive_Pattern/Mosers_Circle_Problem_The_Deceptive_Pattern_eval.json,
7,mas,Instantaneous rate of change and the derivative,Instantaneous Rate of Change and the Derivative,True,True,True,4.495355192820231,1.5518185456593832,328477,328.477,97.5,92.5,100.0,100.0,100.0,98.0,20.000000000000007,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/7-Instantaneous_Rate_of_Change_and_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,Quantum Superposition and the Mystery of States,True,True,True,4.372862414518992,1.6050183216730753,313397,313.397,65.0,75.0,95.0,80.0,90.0,81.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/8-Quantum_Superposition_and_the_Mystery_of_States,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/8-Quantum_Superposition_and_the_Mystery_of_States/Quantum_Superposition_and_the_Mystery_of_States.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/8-Quantum_Superposition_and_the_Mystery_of_States/Quantum_Superposition_and_the_Mystery_of_States_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Race of Curves,True,True,True,31.354267597198486,1.522762672106425,616426,616.426,92.5,75.0,90.0,80.0,97.5,87.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/9-The_Brachistochrone_Problem_The_Race_of_Curves,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/9-The_Brachistochrone_Problem_The_Race_of_Curves/The_Brachistochrone_Problem_The_Race_of_Curves.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/9-The_Brachistochrone_Problem_The_Race_of_Curves/The_Brachistochrone_Problem_The_Race_of_Curves_eval.json,
10,mas,Dandelin spheres and conic sections,The Magic of Dandelin Spheres: Visualizing Conic Sections,True,True,True,7.055289634068807,1.6597976366678873,513053,513.053,75.0,25.0,45.0,90.0,30.0,53.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/10-The_Magic_of_Dandelin_Spheres_Visualizing_Conic_Sections,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/10-The_Magic_of_Dandelin_Spheres_Visualizing_Conic_Sections/The_Magic_of_Dandelin_Spheres_Visualizing_Conic_Sections.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/10-The_Magic_of_Dandelin_Spheres_Visualizing_Conic_Sections/The_Magic_of_Dandelin_Spheres_Visualizing_Conic_Sections_eval.json,
11,mas,How multilayer perceptrons in transformers may store facts,How Multilayer Perceptrons (MLP) Store Facts in Transformers,True,True,True,4.7883271932601925,1.8008438428243,388944,388.944,97.5,95.0,95.0,100.0,100.0,97.5,19.999999999999996,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/11-How_Multilayer_Perceptrons_MLP_Store_Facts_in_Transformers,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/11-How_Multilayer_Perceptrons_MLP_Store_Facts_in_Transformers/How_Multilayer_Perceptrons_MLP_Store_Facts_in_Transformers.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/11-How_Multilayer_Perceptrons_MLP_Store_Facts_in_Transformers/How_Multilayer_Perceptrons_MLP_Store_Facts_in_Transformers_eval.json,
12,mas,The physics of pi arising from colliding blocks,The Physics of Pi: Colliding Blocks and Digit Emergence,True,True,True,2.74263414144516,1.6776284178098042,192013,192.013,95.0,90.0,100.0,100.0,92.5,95.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/12-The_Physics_of_Pi_Colliding_Blocks_and_Digit_Emergence,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/12-The_Physics_of_Pi_Colliding_Blocks_and_Digit_Emergence/The_Physics_of_Pi_Colliding_Blocks_and_Digit_Emergence.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/12-The_Physics_of_Pi_Colliding_Blocks_and_Digit_Emergence/The_Physics_of_Pi_Colliding_Blocks_and_Digit_Emergence_eval.json,
13,mas,High-dimensional spheres,The Geometry of High-Dimensional Spheres: Beyond 3D,True,True,True,5.153495196501414,1.8068367044130962,319430,319.43,97.5,92.5,100.0,97.5,92.5,96.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/13-The_Geometry_of_High-Dimensional_Spheres_Beyond_3D,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/13-The_Geometry_of_High-Dimensional_Spheres_Beyond_3D/The_Geometry_of_High-Dimensional_Spheres_Beyond_3D.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/13-The_Geometry_of_High-Dimensional_Spheres_Beyond_3D/The_Geometry_of_High-Dimensional_Spheres_Beyond_3D_eval.json,
14,mas,Discrete convolutions and their applications,Discrete Convolutions: From Image Blurring to Feature Detection,True,True,True,4.277277986208598,1.7305529276529947,404017,404.017,92.5,82.5,97.5,97.5,80.0,90.0,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/14-Discrete_Convolutions_From_Image_Blurring_to_Feature_Detection,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/14-Discrete_Convolutions_From_Image_Blurring_to_Feature_Detection/Discrete_Convolutions_From_Image_Blurring_to_Feature_Detection.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/14-Discrete_Convolutions_From_Image_Blurring_to_Feature_Detection/Discrete_Convolutions_From_Image_Blurring_to_Feature_Detection_eval.json,
15,mas,Binary counting and its application to the Towers of Hanoi puzzle,Binary Counting and the Towers of Hanoi: The Hidden Logic,True,True,True,4.235869880517324,1.8012424071629842,399270,399.27,87.5,55.00000000000001,65.0,95.0,42.5,69.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/15-Binary_Counting_and_the_Towers_of_Hanoi_The_Hidden_Logic,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/15-Binary_Counting_and_the_Towers_of_Hanoi_The_Hidden_Logic/Binary_Counting_and_the_Towers_of_Hanoi_The_Hidden_Logic.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/15-Binary_Counting_and_the_Towers_of_Hanoi_The_Hidden_Logic/Binary_Counting_and_the_Towers_of_Hanoi_The_Hidden_Logic_eval.json,
16,mas,Partial differential equations,Introduction to Partial Differential Equations (PDEs),True,True,True,4.458884620666504,1.5367928663889567,319622,319.622,97.5,95.0,100.0,100.0,97.5,98.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/16-Introduction_to_Partial_Differential_Equations_PDEs,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/16-Introduction_to_Partial_Differential_Equations_PDEs/Introduction_to_Partial_Differential_Equations_PDEs.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/16-Introduction_to_Partial_Differential_Equations_PDEs/Introduction_to_Partial_Differential_Equations_PDEs_eval.json,
17,mas,Central Limit Theorem,The Magic of the Central Limit Theorem (CLT),True,True,True,4.559537061055502,1.6012171149253844,388410,388.41,92.5,87.5,97.5,95.0,90.0,92.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/17-The_Magic_of_the_Central_Limit_Theorem_CLT,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/17-The_Magic_of_the_Central_Limit_Theorem_CLT/The_Magic_of_the_Central_Limit_Theorem_CLT.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/17-The_Magic_of_the_Central_Limit_Theorem_CLT/The_Magic_of_the_Central_Limit_Theorem_CLT_eval.json,
18,mas,Unexpected answer to a counting puzzle involving collisions and pi,The Pi-Collision Paradox: Why Bouncing Blocks Count Digits of Pi,True,True,True,5.2281065583229065,1.6169935663541157,376697,376.697,95.0,72.5,60.0,100.0,57.49999999999999,77.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/18-The_Pi-Collision_Paradox_Why_Bouncing_Blocks_Count_Digits_of_Pi,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/18-The_Pi-Collision_Paradox_Why_Bouncing_Blocks_Count_Digits_of_Pi/The_Pi-Collision_Paradox_Why_Bouncing_Blocks_Count_Digits_of_Pi.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/18-The_Pi-Collision_Paradox_Why_Bouncing_Blocks_Count_Digits_of_Pi/The_Pi-Collision_Paradox_Why_Bouncing_Blocks_Count_Digits_of_Pi_eval.json,
19,mas,Basics of linear algebra and vectors,Fundamentals of Vectors: Directions and Magnitudes,True,True,True,5.041287434101105,1.6029290517171224,382963,382.963,95.0,85.0,95.0,87.5,90.0,90.5,20.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/19-Fundamentals_of_Vectors_Directions_and_Magnitudes,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/19-Fundamentals_of_Vectors_Directions_and_Magnitudes/Fundamentals_of_Vectors_Directions_and_Magnitudes.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/19-Fundamentals_of_Vectors_Directions_and_Magnitudes/Fundamentals_of_Vectors_Directions_and_Magnitudes_eval.json,
20,mas,Bayes' theorem and independence in probability,Mastering Bayes' Theorem and Independence,True,True,True,9.787342194716135,1.5758557717005413,741370,741.37,97.5,92.5,100.0,100.0,95.0,97.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/20-Mastering_Bayes_Theorem_and_Independence,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/20-Mastering_Bayes_Theorem_and_Independence/Mastering_Bayes_Theorem_and_Independence.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/20-Mastering_Bayes_Theorem_and_Independence/Mastering_Bayes_Theorem_and_Independence_eval.json,
21,mas,Block collision problem and its relation to calculating digits of pi,The Elastic Collision Paradox: Counting Pi with Colliding Blocks,True,True,True,4.9993224541346235,1.7688869476318358,313014,313.014,75.0,62.5,92.5,70.0,95.0,79.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/21-The_Elastic_Collision_Paradox_Counting_Pi_with_Colliding_Blocks,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/21-The_Elastic_Collision_Paradox_Counting_Pi_with_Colliding_Blocks/The_Elastic_Collision_Paradox_Counting_Pi_with_Colliding_Blocks.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/21-The_Elastic_Collision_Paradox_Counting_Pi_with_Colliding_Blocks/The_Elastic_Collision_Paradox_Counting_Pi_with_Colliding_Blocks_eval.json,
22,mas,Planar graph duality and Euler's Characteristic Formula,Unlocking Planar Graphs: Euler's Characteristic and Duality,True,True,True,5.154112370808919,2.2252188165982565,351355,351.355,95.0,87.5,97.5,95.0,90.0,93.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/22-Unlocking_Planar_Graphs_Eulers_Characteristic_and_Duality,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/22-Unlocking_Planar_Graphs_Eulers_Characteristic_and_Duality/Unlocking_Planar_Graphs_Eulers_Characteristic_and_Duality.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/22-Unlocking_Planar_Graphs_Eulers_Characteristic_and_Duality/Unlocking_Planar_Graphs_Eulers_Characteristic_and_Duality_eval.json,
23,mas,Cramer's rule explained geometrically,Cramer's Rule: A Geometric Perspective,True,True,True,6.068471729755402,1.626030155022939,469248,469.248,75.0,60.0,70.0,95.0,45.0,69.0,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/23-Cramers_Rule_A_Geometric_Perspective,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/23-Cramers_Rule_A_Geometric_Perspective/Cramers_Rule_A_Geometric_Perspective.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/23-Cramers_Rule_A_Geometric_Perspective/Cramers_Rule_A_Geometric_Perspective_eval.json,
24,mas,Pure Fourier series,Pure Fourier Series: Decoding the Rhythm of Signals,True,True,True,4.822099347909291,1.5924348433812459,389713,389.713,92.5,90.0,75.0,97.5,82.5,87.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/24-Pure_Fourier_Series_Decoding_the_Rhythm_of_Signals,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/24-Pure_Fourier_Series_Decoding_the_Rhythm_of_Signals/Pure_Fourier_Series_Decoding_the_Rhythm_of_Signals.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/24-Pure_Fourier_Series_Decoding_the_Rhythm_of_Signals/Pure_Fourier_Series_Decoding_the_Rhythm_of_Signals_eval.json,
25,mas,"Infinite sums, convergence and divergence, 2-adic metric in mathematics",Exploring the 2-adic Metric: Where Infinite Sums Behave Differently,True,True,True,3.65190996726354,1.5701883435249329,298157,298.157,97.5,90.0,100.0,100.0,95.0,96.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/25-Exploring_the_2-adic_Metric_Where_Infinite_Sums_Behave_Differently,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/25-Exploring_the_2-adic_Metric_Where_Infinite_Sums_Behave_Differently/Exploring_the_2-adic_Metric_Where_Infinite_Sums_Behave_Differently.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260810_151703/25-Exploring_the_2-adic_Metric_Where_Infinite_Sums_Behave_Differently/Exploring_the_2-adic_Metric_Where_Infinite_Sums_Behave_Differently_eval.json,
