topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Fundamental Bridge: The Relationship Between Integrals and Derivatives,True,True,True,5.11286871433258,1.5845824599266052,436828,436.828,92.5,80.0,97.5,87.5,95.0,90.5,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives_eval.json,
1,mas,Abstract vector spaces,Introduction to Abstract Vector Spaces,True,True,True,4.001036071777344,1.6667278091112772,263976,263.976,95.0,92.5,100.0,100.0,100.0,97.5,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/1-Introduction_to_Abstract_Vector_Spaces,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/1-Introduction_to_Abstract_Vector_Spaces/Introduction_to_Abstract_Vector_Spaces.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/1-Introduction_to_Abstract_Vector_Spaces/Introduction_to_Abstract_Vector_Spaces_eval.json,
2,mas,Neural network learning and intuitive backpropagation,Neural Network Learning: The Intuition of Backpropagation,True,True,True,5.51631586154302,1.5911003033320108,425764,425.764,97.5,90.0,100.0,100.0,95.0,96.5,20.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/2-Neural_Network_Learning_The_Intuition_of_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/2-Neural_Network_Learning_The_Intuition_of_Backpropagation/Neural_Network_Learning_The_Intuition_of_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/2-Neural_Network_Learning_The_Intuition_of_Backpropagation/Neural_Network_Learning_The_Intuition_of_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The Attention Mechanism: How Transformers Read,True,True,True,4.819980116685231,1.6000832478205362,353648,353.648,97.5,92.5,100.0,100.0,90.0,96.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/3-The_Attention_Mechanism_How_Transformers_Read,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read_eval.json,
4,mas,Change of basis,Change of Basis in Linear Algebra,True,True,True,4.411806666851044,1.9017029047012328,378025,378.025,92.5,87.5,95.0,97.5,80.0,90.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/4-Change_of_Basis_in_Linear_Algebra,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: From Slopes to Sensitivities,True,True,True,5.19298970301946,1.647057795524597,348457,348.457,92.5,85.0,97.5,95.0,87.5,91.5,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities/The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/5-The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities/The_Transformational_View_of_Derivatives_From_Slopes_to_Sensitivities_eval.json,
6,mas,Moser's circle problem,Moser's Circle Problem: The Deceptive Power of Patterns,True,True,True,5.1949133515357975,2.141488250096639,336222,336.222,95.0,87.5,100.0,95.0,92.5,94.0,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/6-Mosers_Circle_Problem_The_Deceptive_Power_of_Patterns,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/6-Mosers_Circle_Problem_The_Deceptive_Power_of_Patterns/Mosers_Circle_Problem_The_Deceptive_Power_of_Patterns.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/6-Mosers_Circle_Problem_The_Deceptive_Power_of_Patterns/Mosers_Circle_Problem_The_Deceptive_Power_of_Patterns_eval.json,
7,mas,Instantaneous rate of change and the derivative,Instantaneous Rate of Change and the Derivative,True,True,True,5.781145278612772,1.621714719136556,407980,407.98,95.0,92.5,100.0,100.0,97.5,97.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/7-Instantaneous_Rate_of_Change_and_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,The Magic of Superposition: Exploring Quantum States,True,True,True,5.8749278823534645,1.5441571553548177,360013,360.013,85.0,57.49999999999999,97.5,70.0,75.0,77.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/8-The_Magic_of_Superposition_Exploring_Quantum_States,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/8-The_Magic_of_Superposition_Exploring_Quantum_States/The_Magic_of_Superposition_Exploring_Quantum_States.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/8-The_Magic_of_Superposition_Exploring_Quantum_States/The_Magic_of_Superposition_Exploring_Quantum_States_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Curve of Fastest Descent,True,True,True,4.743092858791352,1.8131662050882975,322197,322.197,92.5,80.0,95.0,97.5,87.5,90.5,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/9-The_Brachistochrone_Problem_The_Curve_of_Fastest_Descent,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/9-The_Brachistochrone_Problem_The_Curve_of_Fastest_Descent/The_Brachistochrone_Problem_The_Curve_of_Fastest_Descent.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_204613/9-The_Brachistochrone_Problem_The_Curve_of_Fastest_Descent/The_Brachistochrone_Problem_The_Curve_of_Fastest_Descent_eval.json,
