topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Inseparable Duo: The Inverse Relationship Between Derivatives and Integrals,True,True,True,15.228155704339345,1.7454493800799051,888203,888.203,95.0,92.5,100.0,100.0,97.5,97.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/0-The_Inseparable_Duo_The_Inverse_Relationship_Between_Derivatives_and_Integrals,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/0-The_Inseparable_Duo_The_Inverse_Relationship_Between_Derivatives_and_Integrals/The_Inseparable_Duo_The_Inverse_Relationship_Between_Derivatives_and_Integrals.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/0-The_Inseparable_Duo_The_Inverse_Relationship_Between_Derivatives_and_Integrals/The_Inseparable_Duo_The_Inverse_Relationship_Between_Derivatives_and_Integrals_eval.json,
1,mas,Abstract vector spaces,Abstract Vector Spaces: Beyond the Arrow,True,True,True,13.685672255357106,1.7247055967648823,683117,683.117,100.0,97.5,100.0,100.0,100.0,99.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/1-Abstract_Vector_Spaces_Beyond_the_Arrow,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/1-Abstract_Vector_Spaces_Beyond_the_Arrow/Abstract_Vector_Spaces_Beyond_the_Arrow.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/1-Abstract_Vector_Spaces_Beyond_the_Arrow/Abstract_Vector_Spaces_Beyond_the_Arrow_eval.json,
2,mas,Neural network learning and intuitive backpropagation,The Secret of Learning: An Intuitive Guide to Backpropagation,True,True,True,13.276039330164592,1.8909401019414267,814932,814.932,100.0,97.5,100.0,100.0,97.5,99.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/2-The_Secret_of_Learning_An_Intuitive_Guide_to_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/2-The_Secret_of_Learning_An_Intuitive_Guide_to_Backpropagation/The_Secret_of_Learning_An_Intuitive_Guide_to_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/2-The_Secret_of_Learning_An_Intuitive_Guide_to_Backpropagation/The_Secret_of_Learning_An_Intuitive_Guide_to_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The Spotlight of AI: Understanding the Attention Mechanism in Transformers,True,True,True,14.232334697246552,1.5426807443300883,938055,938.055,97.5,95.0,100.0,100.0,95.0,97.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/3-The_Spotlight_of_AI_Understanding_the_Attention_Mechanism_in_Transformers,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/3-The_Spotlight_of_AI_Understanding_the_Attention_Mechanism_in_Transformers/The_Spotlight_of_AI_Understanding_the_Attention_Mechanism_in_Transformers.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/3-The_Spotlight_of_AI_Understanding_the_Attention_Mechanism_in_Transformers/The_Spotlight_of_AI_Understanding_the_Attention_Mechanism_in_Transformers_eval.json,
4,mas,Change of basis,Change of Basis: Seeing the World Through Different Eyes,True,True,True,15.631247731049855,1.7364870270093282,772812,772.812,100.0,97.5,100.0,100.0,100.0,99.5,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/4-Change_of_Basis_Seeing_the_World_Through_Different_Eyes,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/4-Change_of_Basis_Seeing_the_World_Through_Different_Eyes/Change_of_Basis_Seeing_the_World_Through_Different_Eyes.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/4-Change_of_Basis_Seeing_the_World_Through_Different_Eyes/Change_of_Basis_Seeing_the_World_Through_Different_Eyes_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: Seeing Beyond the Slope,True,True,True,15.781329333782196,1.7265827337900796,778259,778.259,100.0,100.0,100.0,100.0,100.0,100.0,19.999999999999996,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/5-The_Transformational_View_of_Derivatives_Seeing_Beyond_the_Slope,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/5-The_Transformational_View_of_Derivatives_Seeing_Beyond_the_Slope/The_Transformational_View_of_Derivatives_Seeing_Beyond_the_Slope.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/5-The_Transformational_View_of_Derivatives_Seeing_Beyond_the_Slope/The_Transformational_View_of_Derivatives_Seeing_Beyond_the_Slope_eval.json,
6,mas,Moser's circle problem,The Trap of Patterns: Moser's Circle Problem,True,True,True,12.9931143561999,2.6303475817044575,745839,745.839,95.0,92.5,100.0,95.0,97.5,96.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/6-The_Trap_of_Patterns_Mosers_Circle_Problem,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/6-The_Trap_of_Patterns_Mosers_Circle_Problem/The_Trap_of_Patterns_Mosers_Circle_Problem.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/6-The_Trap_of_Patterns_Mosers_Circle_Problem/The_Trap_of_Patterns_Mosers_Circle_Problem_eval.json,
7,mas,Instantaneous rate of change and the derivative,Instantaneous Rate of Change and the Derivative,True,True,True,14.415482715765636,1.6222408294677735,839132,839.132,97.5,92.5,100.0,100.0,97.5,97.5,60.00000000000001,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/7-Instantaneous_Rate_of_Change_and_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/7-Instantaneous_Rate_of_Change_and_the_Derivative/Instantaneous_Rate_of_Change_and_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,The Mystery of Being in Two Places at Once: Superposition & Quantum States,True,True,True,14.58933784166972,1.6346620758374533,819667,819.667,97.5,95.0,100.0,100.0,100.0,98.5,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/8-The_Mystery_of_Being_in_Two_Places_at_Once_Superposition_&_Quantum_States,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/8-The_Mystery_of_Being_in_Two_Places_at_Once_Superposition_&_Quantum_States/The_Mystery_of_Being_in_Two_Places_at_Once_Superposition_&_Quantum_States.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/8-The_Mystery_of_Being_in_Two_Places_at_Once_Superposition_&_Quantum_States/The_Mystery_of_Being_in_Two_Places_at_Once_Superposition_&_Quantum_States_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Path of Fastest Descent,True,True,True,11.48344467083613,1.8686904072761537,683532,683.532,97.5,90.0,100.0,100.0,95.0,96.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/9-The_Brachistochrone_Problem_The_Path_of_Fastest_Descent,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/9-The_Brachistochrone_Problem_The_Path_of_Fastest_Descent/The_Brachistochrone_Problem_The_Path_of_Fastest_Descent.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260807_120330/9-The_Brachistochrone_Problem_The_Path_of_Fastest_Descent/The_Brachistochrone_Problem_The_Path_of_Fastest_Descent_eval.json,
